# These are the results from benchmark.out.4293159029644391793.fixed
# This is only the parameter vo
# X Y
66        0.89
54        0.03
76        8.59
68        0.04
23        0.01
43        1.53
57        541.40
73        392.46
22        1.68
11        0.00
27        1.30
17        0.57
38        1.81
25        1.46
19        0.00
25        0.45
24        0.02
24        0.02
51        0.03
26        507.11
34        0.02
36        0.02
46        5.02
43        0.19
55        11.71
43        0.17
39        139.35
49        53.41
49        0.23
5        0.52
6        1.04
7        2.00
8        3.44
9        5.73
10        9.85
11        14.73
12        21.50
13        30.93
14        43.13
15        59.41
16        82.95
17        108.35
18        148.10
19        185.89
20        233.12
21        291.44
22        364.78
23        445.42
24        569.96
24        5.54
3        0.00
6        0.00
6        0.00
9        0.00
15        0.04
12        0.01
21        3.26
24        0.08
45        4.27
27        0.20
